Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
483,Mark Williams,C,22,CHO,19,19,508,9.3,14.4,.649,0.0,0.0,,9.3,14.4,.649,4.4,6.1,.719,7.2,10.3,17.5,2.1,1.5,1.9,1.6,4.8,23.1,,139,117
484,Patrick Williams,PF,22,CHI,26,16,685,6.2,14.7,.420,2.1,6.1,.349,4.0,8.6,.470,2.3,3.2,.705,2.3,5.5,7.8,2.6,1.9,1.8,2.1,3.4,16.7,,105,116
485,Robert Williams,C,26,POR,6,0,119,7.0,10.7,.654,0.0,0.0,,7.0,10.7,.654,2.9,3.7,.778,4.5,11.2,15.7,2.1,2.9,2.9,2.9,7.0,16.9,,123,107
486,Vince Williams Jr.,SG,23,MEM,15,1,247,4.3,9.8,.440,2.9,7.8,.375,1.4,2.0,.700,3.7,4.5,.826,2.0,9.4,11.4,3.3,1.0,1.4,1.6,6.7,15.3,,128,113
487,Ziaire Williams,SF,22,MEM,21,8,426,6.5,16.9,.383,2.7,8.4,.324,3.7,8.5,.440,2.7,3.1,.889,1.5,8.1,9.5,3.1,1.1,0.6,2.7,4.3,18.4,,98,114
488,Zion Williamson,PF,23,NOP,20,20,620,13.9,23.8,.584,0.2,0.5,.333,13.8,23.4,.589,7.4,11.3,.658,2.9,5.7,8.6,7.3,1.7,0.5,4.1,3.9,35.5,,119,115
489,Jalen Wilson,PF,23,BRK,4,0,27,5.4,9.0,.600,1.8,1.8,1.000,3.6,7.2,.500,3.6,3.6,1.000,3.6,7.2,10.9,3.6,0.0,1.8,0.0,0.0,16.3,,175,118
490,Dylan Windler,SF,27,NYK,3,0,7,7.1,14.2,.500,7.1,14.2,.500,0.0,0.0,,0.0,0.0,,0.0,7.1,7.1,7.1,0.0,0.0,0.0,7.1,21.3,,169,118
491,James Wiseman,C,22,DET,14,0,164,9.3,14.0,.667,0.0,0.3,.000,9.3,13.7,.681,2.9,5.0,.588,4.4,8.8,13.1,1.5,0.9,2.6,3.5,9.0,21.6,,115,117
492,Christian Wood,PF,28,LAL,23,1,455,6.0,13.2,.452,1.6,5.9,.268,4.4,7.3,.600,3.3,4.9,.660,2.3,11.9,14.2,2.1,0.4,1.3,3.0,4.1,16.8,,100,111
493,Delon Wright,PG,31,WAS,8,0,141,3.6,9.8,.367,1.3,3.6,.364,2.3,6.2,.368,4.6,5.3,.875,1.0,5.6,6.6,11.5,4.3,0.3,1.3,2.0,13.1,,130,117
494,Thaddeus Young,PF,35,TOR,3,0,10,9.7,19.5,.500,0.0,0.0,,9.7,19.5,.500,0.0,9.7,.000,4.9,9.7,14.6,14.6,0.0,0.0,4.9,0.0,19.5,,96,118
495,Trae Young,PG,25,ATL,21,21,751,11.0,26.4,.417,4.0,11.2,.358,7.0,15.1,.461,9.9,11.3,.872,0.8,2.8,3.6,14.3,1.9,0.2,5.2,2.1,35.8,,120,123
496,Omer Yurtseven,C,25,UTA,18,6,227,7.5,14.5,.515,0.6,2.8,.231,6.8,11.7,.582,1.3,1.7,.750,6.4,12.2,18.6,2.8,0.9,2.1,4.1,6.6,16.9,,105,116
497,Cody Zeller,C,31,NOP,20,0,189,2.8,8.6,.324,0.0,0.3,.000,2.8,8.4,.333,3.3,6.1,.542,5.6,8.9,14.5,5.3,1.0,0.5,1.5,6.1,8.9,,109,115
498,Ivica Zubac,C,26,LAC,24,24,646,9.4,15.2,.620,0.0,0.0,,9.4,15.2,.620,2.9,4.9,.585,5.5,10.8,16.3,1.7,0.3,2.7,2.3,5.2,21.7,,123,110
